"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 27 10:22:45 GMT 2021","Tue Apr 27 10:22:46 GMT 2021","1964","Surefire suite","Surefire test","MutationTests.MutationTests","MutationTests.MutationTests","Mutation","Mutation",""
"passed","Tue Apr 27 10:22:47 GMT 2021","Tue Apr 27 10:22:47 GMT 2021","163","Surefire suite","Surefire test","QueryTests.GetAddressTests","QueryTests.GetAddressTests","GetAddressLines","GetAddressLines",""
