"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 27 17:25:28 GMT 2021","Tue Apr 27 17:25:28 GMT 2021","74","Surefire suite","Surefire test","QueryTests.GetAddressTests","QueryTests.GetAddressTests","GetAddressLines","GetAddressLines",""
"passed","Tue Apr 27 17:25:26 GMT 2021","Tue Apr 27 17:25:28 GMT 2021","1696","Surefire suite","Surefire test","MutationTests.MutationTests","MutationTests.MutationTests","Mutation","Mutation",""
