"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Apr 27 08:55:00 GMT 2021","Tue Apr 27 08:55:01 GMT 2021","1756","Surefire suite","Surefire test","MutationTests.MutationTests","MutationTests.MutationTests","Mutation","Mutation",""
"broken","Tue Apr 27 08:55:01 GMT 2021","Tue Apr 27 08:55:02 GMT 2021","110","Surefire suite","Surefire test","QueryTests.GetAddressTests","QueryTests.GetAddressTests","GetAddressLines","GetAddressLines",""
