"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 27 10:05:19 GMT 2021","Tue Apr 27 10:05:21 GMT 2021","1934","Surefire suite","Surefire test","MutationTests.MutationTests","MutationTests.MutationTests","Mutation","Mutation",""
"passed","Tue Apr 27 10:05:21 GMT 2021","Tue Apr 27 10:05:21 GMT 2021","80","Surefire suite","Surefire test","QueryTests.GetAddressTests","QueryTests.GetAddressTests","GetAddressLines","GetAddressLines",""
