"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 28 11:18:44 GMT 2021","Wed Apr 28 11:18:44 GMT 2021","53","Surefire suite","Surefire test","MutationTests.MutationTests","MutationTests.MutationTests","Address_Line1_Tests","Address_Line1_Tests",""
"passed","Wed Apr 28 11:18:44 GMT 2021","Wed Apr 28 11:18:44 GMT 2021","97","Surefire suite","Surefire test","MutationTests.MutationTests","MutationTests.MutationTests","Address_Line1_Tests","Address_Line1_Tests",""
"passed","Wed Apr 28 11:18:42 GMT 2021","Wed Apr 28 11:18:44 GMT 2021","1887","Surefire suite","Surefire test","MutationTests.MutationTests","MutationTests.MutationTests","Address_Line1_NULL_Tests","Address_Line1_NULL_Tests",""
"passed","Wed Apr 28 11:18:44 GMT 2021","Wed Apr 28 11:18:44 GMT 2021","96","Surefire suite","Surefire test","MutationTests.MutationTests","MutationTests.MutationTests","Address_Line1_Tests","Address_Line1_Tests",""
"passed","Wed Apr 28 11:18:44 GMT 2021","Wed Apr 28 11:18:44 GMT 2021","49","Surefire suite","Surefire test","QueryTests.GetAddressTests","QueryTests.GetAddressTests","GetAddressLines","GetAddressLines",""
"passed","Wed Apr 28 11:18:44 GMT 2021","Wed Apr 28 11:18:44 GMT 2021","138","Surefire suite","Surefire test","MutationTests.MutationTests","MutationTests.MutationTests","Address_Line1_Tests","Address_Line1_Tests",""
"passed","Wed Apr 28 11:18:44 GMT 2021","Wed Apr 28 11:18:44 GMT 2021","50","Surefire suite","Surefire test","MutationTests.MutationTests","MutationTests.MutationTests","Address_Line1_Tests","Address_Line1_Tests",""
